,hotel_name,Class of Rating,Rating
851,Great Location Midtown East 35th Street and Third Ave,Review score,6.9
852,Sixty LES,Very Good,8.3
853,Warwick New York,Very Good,8.5
854,Hostel - Chrystie Street,Review score,6.1
855,Apartment Clayton.1,None,None
856,Luxurious Central Park South 2 Bedroom Apartment,None,None
857,The International Cozy Inn,Good,7.4
858,Murray Hill 2 Cozy Bedroom Apt,None,None
859,Beautiful Lexington Apartment,None,None
860,Three Bedroom Apartment with City View - Lincoln Center,None,None
861,Incentra Village Hotel,Good,7.8
862,The Park Ave North,Good,7.7
863,Kimpton Ink48 Hotel,Excellent,8.7
864,Apartment Clayton.5,None,None
865,Mott Street Apt 2D,None,None
866,Renovated Studio Loft Downtown NYC #43,Good,7.2
867,Holiday Inn Wall Street,Good,7.9
868,Manhattan Guest House,Good,7.6
869,The Ludlow Hotel,Awesome,9.0
870,The Ludlow Hotel,Awesome,9.0
871,Apartment Clayton.4,None,None
872,Casablanca Hotel by Library Hotel Collection,Awesome,9.4
873,West 49th Apartment,None,None
874,Apartment Clayton.2,None,None
875,Crowne Plaza Times Square,Very Good,8.2
876,PermaGO FiDi,Very Good,8.2
877,Prince Street Apt 9,None,None
878,Sofitel New York,Excellent,8.6
879,Four Seasons Hotel New York,Excellent,8.7
880,Lux Studio West Village 30Days Min,None,None
881,Aparthotel Manhattan Residence.24,None,None
882,Hampton Inn Manhattan Chelsea,Excellent,8.6
883,Aparthotel Manhattan Residence.22,None,None
884,Arlo SoHo,Excellent,8.7
885,Clarion Hotel Park Avenue,Good,7.5
886,City Club Hotel,Very Good,8.4
887,Studio on UES,None,None
888,Aparthotel Manhattan Residence.1,None,None
889,Hotel St. James,Good,7.9
890,Upper East One Bedroom Apartment,Review score,6.7
891,Chelsea Inn,Good,7.3
892,Hotel Hugo,Very Good,8.1
893,Apartment Douglas.2,None,None
894,Spacious 2 Bedrooms Apartment - Times Square,Review score,5.6
895,Manhattan Lodging,Good,7.3
896,Trump International New York,Excellent,8.8
897,"Marriott Vacation Club Pulse, New York City",Very Good,8.5
898,West 57th Street by Hilton Club,Excellent,8.9
899,JW Marriott Essex House New York,Good,7.9
900,30 Park Avenue,None,None
901,Stylish Lexington Pied-à-terre,None,None
902,The Premier Times Square by Millennium,Very Good,8.3
903,Fitzpatrick Grand Central,Excellent,8.9
904,Aparthotel Manhattan Residence.23,None,None
905,Hotel Beacon,Excellent,8.8
906,Wellington Hotel,Good,7.7
907,The Bernic Hotel,Excellent,8.6
908,Chelsea Suites,None,None
909,Hotel Americano,Very Good,8.2
910,Times Square Suites - NYC,Review score,6.7
911,Apartment Soho Elizabeth 3,None,None
912,Hotel Central Fifth Avenue,Good,7.7
913,Chic 2 Bedrooms near Times Square,Review score,4.5
914,Apartment Douglas.1,None,None
915,Apartment Douglas.1,None,None
916,Global Luxury Suites at 777 6th Avenue,None,None
917,Hotel Mimosa,Very Good,8.2
918,Aparthotel Manhattan Residence.2,None,None
919,The Marcel at Gramercy,Very Good,8.1
920,RIU Plaza New York Times Square,Excellent,8.7
921,Aloft Harlem,Very Good,8.4
922,Hampton Inn Manhattan/Downtown- Financial District,Very Good,8.3
923,Amazing 2 Bedrooms at Theater District,None,None
924,Lowell Hotel,Awesome,9.1
925,Manhattan Broadway Hotel,Review score,6.3
926,Loft with Central Park View,Excellent,8.6
927,Residence Inn by Marriott New York Downtown Manhattan/World Trade Center Area,Excellent,8.8
928,New York Marriott Marquis,Very Good,8.2
929,Inn New York City,None,None
930,Loft with Central Park View,Excellent,8.6
931,Residence Inn by Marriott New York Downtown Manhattan/World Trade Center Area,Excellent,8.8
932,New York Marriott Marquis,Very Good,8.2
933,Inn New York City,None,None
934,DoubleTree by Hilton New York Times Square South,Good,7.4
935,Executive Class at MTS Hotel,Good,7.3
936,Courtyard by Marriott New York Manhattan / Soho,Very Good,8.5
937,Park Lane Hotel - A Central Park Hotel,Good,7.7
938,The Frederick Hotel,Very Good,8.3
939,Courtyard by Marriott New York Manhattan/Herald Square,Very Good,8.5
940,Global Luxury Suites at Bridge Tower Place,None,None
941,Courtyard by Marriott New York Manhattan/ Fifth Avenue,Good,7.9
942,TEN15NYC,Very Good,8.3
943,Hudson River Hotel,Review score,6.9
944,IBEROSTAR 70 Park Avenue Hotel,Very Good,8.3
945,Courtyard by Marriott New York Manhattan/ Fifth Avenue,Good,7.9
946,TEN15NYC,Very Good,8.3
947,Hudson River Hotel,Review score,6.9
948,IBEROSTAR 70 Park Avenue Hotel,Very Good,8.3
949,"Park South, a Joie de Vivre Hotel",Excellent,8.6
950,20 Exchange Place,None,None
951,Garden Shared Apartment,None,None
952,New York Hilton Midtown,Good,7.9
953,The Kimpton Muse Hotel,Excellent,8.8
954,Hotel 91,Good,7.4
955,Room in a two bedroom apartment NYC,None,None
956,Modern Midtown East Apartments in NYC,None,None
957,Comfort Inn Times Square South Area,Good,7.4
958,Midtown Two Bedroom Apartment - Central Park,Review score,6.7
959,The Knickerbocker,Excellent,8.8
960,East Village Bungalow Getaway,Review score,5.6
961,The Gotham Hotel,Very Good,8.1
962,"LIFE Hotel, NoMad",Very Good,8.1
963,Conrad New York,Awesome,9.1
964,Empire Hotel,Good,7.5
965,Hôtel Plaza Athénée,Excellent,8.7
966,Hotel Five44,Good,7.2
967,Ameritania at Times Square,Very Good,8.3
968,The Watson Hotel,Good,7.8
969,onefinestay – Uptown private homes,None,None
970,"The Ritz-Carlton New York, Central Park",Excellent,8.7
971,Francesco Times Square Apartment,None,None
972,East Village Hotel,Very Good,8.0
973,Claremont,None,None
974,Harlemville Two Bedroom Apt,Review score,5.9
975,Claremont,None,None
976,Harlemville Two Bedroom Apt,Review score,5.9
977,The Time New York,Very Good,8.3
978,Chelsea Pines Inn,Very Good,8.5
979,The London NYC,Very Good,8.3
980,TRYP by Wyndham Times Square South,Very Good,8.4
981,W New York - Downtown,Very Good,8.0
982,West Side YMCA,Good,7.1
983,Empire State Building,None,None
984,Luxury Living Suites,Review score,5.7
985,SIXTY SoHo,Excellent,8.6
986,The Jimmy,None,None
987,Row NYC at Times Square,Good,7.1
988,Travel Inn - Midtown Manhattan,Good,7.5
989,Global Luxury Suites at Symphony House,None,None
990,Roger Smith Hotel,Very Good,8.5
991,The Grand NYC Apartments,Review score,5.3
992,Sanctuary Hotel New York,Excellent,8.7
993,Refinery Hotel - New York,Awesome,9.0
994,Hilton Club New York,Excellent,8.7
995,Four Seasons Hotel New York Downtown,Awesome,9.4
996,Courtyard New York Manhattan/Upper East Side,Very Good,8.1
997,Andaz Wall Street-a concept by Hyatt,Excellent,8.7
998,YOTEL New York Times Square,Very Good,8.3
999,The Mercer,Excellent,8.9
1000,36 Hudson Hotel,Good,7.5
1001,Hamilton Heights: Renovated Apartments,Review score,5.2
1002,Millennium Hilton New York Downtown,Very Good,8.2
1003,Hampton Inn Seaport Financial District,Very Good,8.1
1004,1600 Broadway,None,None
