,hotel_name,Class of Rating,Rating
395,East 51st Street Apt 4G,None,None
396,First Ave & 92nd Street Apt 3,None,None
397,West 47th Street Apt 2B,None,None
398,West 47th Street Apt 1C,None,None
399,East 7th Street Apt 1R,None,None
400,West 18th Street Apt 1F,None,None
401,Sullivan Street & West 3rd Apt 4F,None,None
402,West 12th Street Apt 3C,None,None
403,Elizabeth Street Apt 8,None,None
404,West 12th Street Apt 3A,None,None
405,Prince Street Apt 2,None,None
406,Prince Street Apt 11,None,None
407,1st Ave Apt 7,None,None
408,Spring St. Apt 2F,None,None
409,Chrystie Street Apt 5,None,None
410,"Brand New 2BR 1BA, W/D, Heart Of Lower East side, 4 min walk to SOHO, MODERN!",None,None
411,Bryant Park Studio Apartment Times Square South,Good,7.9
412,Uptown Studio,None,None
413,NY Away - Luxury Apartments in the Financial District,Review score,6.4
414,Two Bedroom Luxury Apartment - Union Square,Very Good,8.1
415,Modern Apartment - Greenwich Village With Shared Roofdeck & Terrace,Good,7.9
416,Mandarin Oriental New York,Excellent,8.6
417,Staybridge Suites - Times Square - New York City,Very Good,8.2
418,Downtown Grand Apartment,None,None
419,West 49th Street Apt 1B,None,None
420,Modern Apartment - Greenwich Village With Shared Roofdeck & Terrace,Good,7.9
421,Mandarin Oriental New York,Excellent,8.6
422,Staybridge Suites - Times Square - New York City,Very Good,8.2
423,Downtown Grand Apartment,None,None
424,West 49th Street Apt 1B,None,None
425,East 28th Street Apt 11,None,None
426,Sullivan Street Apt 1F,None,None
427,West 18th Street 3M,None,None
428,East 7th Street Apt 2F,None,None
429,Broadway Suite New York,Good,7.6
430,Hampton Inn Manhattan Grand Central,Excellent,8.7
431,East 85th Street Apt 2,None,None
432,East 61st Street Apt 2,None,None
433,West 18th Street Apt 2F,None,None
434,West 108th St. Apt 2W,None,None
435,East 51st Street Apt 3F,None,None
436,Broome St. Apt 3W,None,None
437,One-Bedroom on E 62nd Street Apt G,None,None
438,Harlem Grand,None,None
439,Aparthotel Manhattan Residence.5,None,None
440,East 85th Street Apt 1D,None,None
441,East 82nd Street Apt 5B,None,None
442,East 7th Street Apt 1C,None,None
443,West 15th Street 1F,None,None
444,Mulberry Street Apt 12,None,None
445,West 119th B&B,Awesome,9.2
446,HI NYC Hostel,Very Good,8.5
447,East 82nd Street Apt 5C,None,None
448,East 51st Street Apt 4H,None,None
449,Apartment #3E,None,None
450,East 85th Street Apt 1D,None,None
451,East 82nd Street Apt 5B,None,None
452,East 7th Street Apt 1C,None,None
453,West 15th Street 1F,None,None
454,Mulberry Street Apt 12,None,None
455,West 119th B&B,Awesome,9.2
456,HI NYC Hostel,Very Good,8.5
457,East 82nd Street Apt 5C,None,None
458,East 51st Street Apt 4H,None,None
459,Apartment #3E,None,None
460,Cozy Manhattan Apartment,None,None
461,Gracious Apartment in Midtown West,None,None
462,West 15th Street 4D,None,None
463,The Townhouse Inn of Chelsea,Excellent,8.8
464,Da Vinci Hotel,Good,7.6
465,Central Park Apartment,Good,7.4
466,Huge 2 Bed 2 Bath Apartment in Building with Elevator,None,None
467,UWS furnished One bedroom,None,None
